지역구,공원 갯수,인구수,구 면적,공원총면적,면적비
강남구,7,544085,39.5,3.626398,0.09180754430379746
강동구,7,462275,24.59,1.526387,0.06207348515656771
강북구,3,313550,23.6,2.047054,0.08673957627118645
강서구,9,589536,41.44,2.194152,0.052947683397683395
관악구,2,514555,29.57,10.431453,0.35277149137639496
광진구,2,361923,17.06,0.584002,0.03423223915592029
구로구,4,435751,20.12,1.721011,0.08553732604373758
금천구,4,249641,13.02,0.123251,0.009466282642089093
노원구,3,529532,35.44,12.235699,0.3452511004514673
도봉구,6,329300,20.66,1.084218,0.05247909002904162
동대문구,4,358679,14.22,0.458663,0.03225478199718706
동작구,7,404617,16.35,3.706738,0.22671180428134555
마포구,5,383494,23.85,2.685112,0.11258331236897275
서대문구,4,323860,17.63,3.321475,0.1883990357345434
서초구,6,429995,46.98,13.359636,0.28436858237547896
성동구,5,302695,16.86,0.626838,0.037179003558718865
성북구,3,449871,24.57,1.198327,0.04877195767195767
송파구,7,676673,33.87,2.838992,0.08382025391201654
양천구,5,460048,17.41,1.203428,0.0691228029867892
영등포구,5,405982,24.55,0.424446,0.017289042769857432
용산구,2,244953,21.87,0.247194,0.011302880658436213
은평구,7,485842,29.71,2.9874427910000003,0.1005534429821609
종로구,13,159842,23.91,5.575526,0.23318803847762443
중구,6,135321,9.96,3.001129,0.30131817269076305
중랑구,5,400989,18.5,7.046975,0.38091756756756756
